athlete_id,athlete_name,round,team_id,team_name,assistances,receivedBalls,recoveredBalls,lostBalls,yellowCards,redCards,cards,crossBalls,receivedCrossBalls,missedCrossBalls,receivedCrossBallsPercent,defenses,sucessfulTackles,unsucessfulTackles,tackles,sucessfulDribles,unsucessfulDribles,dribles,givenCorners,receivedCorners,receivedFouls,committedFouls,goodFinishes,postFinishes,badFinishes,finishes,goals,ownGoals,offsides,longPasses,sucessfulLongPasses,unsucessfulLongPasses,sucessfulPasses,unsucessfulPasses,passes,sucessfulPassesPercent,timePlayed,switchField,backPasses,nickname,substitute,substituted,win,draw,defeat
0,,20,22,Santos,4,312,1,47,2,0,2,26,7,19,26.9,2,101,35,136,11,11,22,11,9,20,18,8,0,10,18,0,0,0,4,4,0,302,63,365,82.7,990,4,0,,0,0,0,0,1
0,,20,5,Botafogo,3,247,1,48,4,0,4,30,4,26,13.3,8,94,47,141,14,7,21,9,11,18,20,3,0,9,12,1,0,1,8,3,5,242,51,293,82.6,990,8,1,,0,0,1,0,0
0,,20,24,São Paulo,6,273,0,40,6,0,6,13,5,8,38.5,4,69,22,91,13,4,17,3,3,13,22,5,1,6,12,2,0,2,4,3,1,255,38,293,87,990,0,12,,0,0,1,0,0
0,,20,1,Flamengo,3,376,3,38,2,1,3,16,4,12,25,3,78,30,108,6,4,10,3,3,22,13,5,1,9,15,0,0,2,4,2,2,364,58,422,86.3,940,8,7,,0,0,0,0,1
0,,20,25,Vasco,0,255,3,47,2,0,2,12,2,10,16.7,2,80,31,111,7,4,11,5,4,13,24,4,0,8,12,1,0,1,2,0,2,249,51,300,83,990,2,3,,0,0,0,1,0
0,,20,4,Atlético-MG,1,281,5,50,2,0,2,14,1,13,7.1,3,99,44,143,13,3,16,4,5,24,13,3,1,2,6,1,0,2,5,2,3,277,68,345,80.3,990,2,2,,0,0,0,1,0
0,,20,11,Fluminense,4,231,3,49,1,0,1,14,4,10,28.6,5,94,38,132,17,2,19,7,4,19,8,3,0,6,9,3,0,4,6,2,4,222,54,276,80.4,990,2,2,,0,0,1,0,0
0,,20,33,Ceará,3,250,1,48,2,0,2,27,6,21,22.2,0,100,39,139,15,5,20,4,7,8,19,6,0,6,12,1,0,1,5,2,3,243,54,297,81.8,990,1,4,,0,0,0,0,1
0,,20,631,Grêmio Prudente,2,217,0,39,2,1,3,22,4,18,18.2,1,77,45,122,22,3,25,8,5,21,25,2,0,9,11,1,0,1,5,0,5,210,51,261,80.5,971,1,1,,0,0,0,1,0
0,,20,29,Avaí,1,251,1,43,3,1,4,20,4,16,20,1,82,39,121,18,2,20,5,8,25,21,2,0,7,9,1,0,2,2,1,1,243,56,299,81.3,988,4,2,,0,0,0,1,0
